                                    Obs    x
 
                                      1    3
                                      2    4
                                      3    5
                                      4    6
                                      5    7
                                      6    7
                                      7    8
                                      8    9
                                      9    3
                                     10    4
                                     11    8
                                     12    6
