                             Obs    feed     weight
 
                               1    feed1     60.8
                               2    feed2     68.7
                               3    feed3     92.6
                               4    feed4     87.9
                               5    feed1     57.0
                               6    feed2     67.7
                               7    feed3     92.1
                               8    feed4     84.2
                               9    feed1     65.0
                              10    feed2     74.0
                              11    feed3     90.2
                              12    feed4     83.1
                              13    feed1     58.6
                              14    feed2     66.3
                              15    feed3     96.5
                              16    feed4     85.7
                              17    feed1     61.7
                              18    feed2     69.8
                              19    feed3     99.1
                              20    feed4     90.3
