          Obs            case           scrap           speed    line
 
            1               1             218             100     a
            2               2             248             125     a
            3               3             360             220     a
            4               4             351             205     a
            5               5             470             300     a
            6               6             394             255     a
            7               7             332             225     a
            8               8             321             175     a
            9               9             410             270     a
           10              10             260             170     a
