                               The FREQ Procedure
 
                                              Cumulative    Cumulative
          Sport      Frequency     Percent     Frequency      Percent
          ------------------------------------------------------------
          BBall            25       12.38            25        12.38
          Field            19        9.41            44        21.78
          Gym               4        1.98            48        23.76
          Netball          23       11.39            71        35.15
          Row              37       18.32           108        53.47
          Swim             22       10.89           130        64.36
          T400m            29       14.36           159        78.71
          TSprnt           15        7.43           174        86.14
          Tennis           11        5.45           185        91.58
          WPolo            17        8.42           202       100.00
