                      Obs               y           group
 
                        1              10               1
                        2              11               1
                        3              11               1
                        4              13               1
                        5              13               1
                        6              14               1
                        7              14               1
                        8              15               1
                        9              16               1
                       10              13               2
                       11              13               2
                       12              14               2
                       13              17               2
                       14              18               2
                       15              19               2
