                          Obs    group           score
 
                            1      t                24
                            2      t                61
                            3      t                59
                            4      t                46
                            5      t                43
                            6      t                44
                            7      t                52
                            8      t                43
                            9      t                58
                           10      t                67
                           11      t                62
                           12      t                57
                           13      t                71
                           14      t                49
                           15      t                54
                           16      t                43
                           17      t                53
                           18      t                57
                           19      t                49
                           20      t                56
                           21      t                33
                           22      c                42
                           23      c                33
                           24      c                46
                           25      c                37
                           26      c                43
                           27      c                41
                           28      c                10
                           29      c                42
                           30      c                55
                           31      c                19
                           32      c                17
                           33      c                55
                           34      c                26
                           35      c                54
                           36      c                60
                           37      c                28
                           38      c                62
                           39      c                20
                           40      c                53
                           41      c                48
                           42      c                37
                           43      c                85
                           44      c                42
