                              Obs            Time
 
                                1              91
                                2              64
                                3             243
                                4             167
                                5             123
                                6              65
                                7              71
                                8             204
                                9             110
                               10             178
                               11             264
                               12             119
                               13             112
                               14             142
                               15             451
                               16             474
                               17             209
                               18             104
                               19              84
                               20             302
                               21             527
                               22             303
                               23             228
                               24             391
                               25             215
                               26             188
                               27             150
                               28             102
                               29             162
                               30             194
